username;Nickname;Likes;Followers;Bio;view_count;like_count;comment_count;save_count;engagement_rate_influencer
mrbeast;MrBeast;875700000.0;88400000.0;I want to make the world a better place before I die;297300000.0;37842000.0;296752.0;2558400.0;43.15641216
karolg;Karol G;378700000.0;50000000.0;S91;59700000.0;8037000.0;28107.0;238900.0;72.76887209677419
yzn47;يزن الأسمر 🇸🇦;91100000.0;9700000.0;Riyadh🇸🇦 افتقدت طعم الفرح في غيابك عزيز .. وداعاً✋;438300000.0;17689100.0;185042.0;633259.0;27.575653607142858
centralcee;CentralCee;86500000.0;9300000.0;2 3;117700000.0;14640800.0;65038.0;593517.0;39.07726678832117
adinross;adin;95800000.0;6400000.0;Kick - AdinRoss Twitter - @adinross Instagram - @AdinRoss;87300000.0;10200000.0;98184.0;518900.0;29.43135146067416
thebrandonrobert;Brandon Robert;471400000.0;12200000.0;Documenting My BFs life 😭  Brandon@sosaniagency.com;49501600.0;5033300.0;15363.0;220418.0;88.45103521739131
mishayoung;Міша Городецький 🇺🇦;127200000.0;4400000.0;Власник «найдобрішої» чихуахуа 🐶 Ми переможемо , Україна понад усе !!! 🇺🇦🇺🇦;5004800.0;243567.0;3672.0;16342.0;11.495247924528302
yailinlamasviraloficial;Yailin La Más Viral;98900.0;18600.0;"@yailinlamasviral    💥Solo tú y yo""💫         💫Nueva cuenta💥";600864.0;14426.0;395.0;570.0;19.49415012630819
daniel.labelle;Daniel LaBelle;744000000.0;30700000.0;No bio yet.;57300000.0;4392800.0;24466.0;241231.0;39.80211
amauryguichon;Amaury Guichon;449100000.0;22600000.0;The Chocolate Guy;24800000.0;2535300.0;14830.0;102700.0;41.6574024
urbantheory_;Urban Theory;193300000.0;20600000.0;Italian content creators🇮🇹  📩collab@urbantheory.it;487728300.0;46302730.0;214482.0;1452594.0;103.58505371428572
enhypen;enhypen;705200000.0;19100000.0;#ENHYPEN Official TikTok #ENHYPEN 공식 틱톡;11600000.0;3040500.0;46223.0;326200.0;18.177989401197603
conangray;conangray;199300000.0;7600000.0;No bio yet.;2725300.0;699700.0;9546.0;21815.0;21.765739166666663
ronaldinho;Ronaldinho;77000000.0;17800000.0;TikTok oficial do Ronaldinho.;320600000.0;24212300.0;59994.0;938239.0;132.28508321428572
im.camber;Camber;10100000.0;99400.0;Take the risk or lose the chance ✨ @im.camber;47861400.0;5607923.0;23053.0;286443.0;11.464881568627453
matt_rife;Matt Rife;341800000.0;17700000.0;Comedian Business email: mattrife@avestaent.com TOUR DATES & SPECIAL👇🏼;181700000.0;25901600.0;73448.0;1867700.0;59.62298818181818
