username; nickname; deskripsi; view_count; like_count; comment_count; save_count; link; tanggal_posting; scraped_time
mrbeast;MrBeast;should I sell my new kicks? 🥶💸#12bucklemyshoe  #ice #newdrip  #drippy  #yeat  ;98900000.0;12000000.0;121400.0;1200000.0;https://www.tiktok.com/@mrbeast/video/7229017548413570350?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2023-05-04;2023-10-27 04:40:00
mrbeast;MrBeast;Surprised he didn’t pick rock every time #mrbeastvstherock  ;111700000.0;14300000.0;61900.0;771700.0;https://www.tiktok.com/@mrbeast/video/7157058226306043179?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2022-10-22;2023-10-27 04:40:05
mrbeast;MrBeast;Minions > Avengers;81600000.0;11000000.0;108500.0;566900.0;https://www.tiktok.com/@mrbeast/video/7116560138814885166?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2022-07-04;2023-10-27 04:40:09
mrbeast;MrBeast;"Would have been a good investment tbh 😤 #sharktank  #deal  #markcuban  #money   I asked Mark Cuban for $1;000;000";5100000.0;542000.0;4952;19800.0;https://www.tiktok.com/@mrbeast/video/7293201028772564267?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2023-10-24;2023-10-27 04:40:14
karolg;Karol G;🥹🥹🥹♥️ Ya los extraño! ;3300000.0;537000.0;3655;14600.0;https://www.tiktok.com/@karolg/video/7289948170405104942?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2023-10-15;2023-10-27 04:40:24
karolg;Karol G;🥹✨🤍💭 #MañanaSeraBonito  🌸;8100000.0;1100000.0;4790;28900.0;https://www.tiktok.com/@karolg/video/7284682909259205934?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2023-10-01;2023-10-27 04:40:27
karolg;Karol G;🌸🌷💗;39800000.0;5000000.0;14100.0;160000.0;https://www.tiktok.com/@karolg/video/7282047897699405102?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2023-09-23;2023-10-27 04:40:31
karolg;Karol G;🐱💗✨ #gatitagangster  ;8500000.0;1400000.0;5562;35400.0;https://www.tiktok.com/@karolg/video/7282046105964121386?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2023-09-23;2023-10-27 04:40:35
yzn47;يزن الأسمر 🇸🇦;Like😅❤️#يزن_الأسمر  #عزيز  #tiktok  ;104500000.0;3700000.0;27500.0;160600.0;https://www.tiktok.com/@yzn47/video/7151386817726516482?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2022-10-06;2023-10-27 04:40:43
yzn47;يزن الأسمر 🇸🇦;مبروك عزيز 😍💙#يزن_الأسمر  #عزيز  #tiktok  ;166200000.0;6300000.0;69300.0;278700.0;https://www.tiktok.com/@yzn47/video/7175160095645469953?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2022-12-09;2023-10-27 04:40:47
yzn47;يزن الأسمر 🇸🇦;صباح الخير على طريقة النتفه😂💔#يزن_الأسمر  #النتفه  #يوتيوبر  #tiktok  #تيكتوك ;164200000.0;7600000.0;87400.0;189100.0;https://www.tiktok.com/@yzn47/video/6980304273246604546?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2021-07-02;2023-10-27 04:40:50
yzn47;يزن الأسمر 🇸🇦;دعوه لعزيز رحمه الله 🤲 #يزن_الأسمر  #عزيز  ;3400000.0;89100.0;842;4859;https://www.tiktok.com/@yzn47/video/7283574237133114631?is_from_webapp=1&sender_device=pc&web_id=7294385012688815618;2023-09-28;2023-10-27 04:40:54
centralcee;CentralCee;The #MW3  Lobby's a vibe @CallofDuty #CODPartner ;1100000.0;140800.0;1138;8217;https://www.tiktok.com/@centralcee/video/7293204585534065953?is_from_webapp=1&sender_device=pc&web_id=7294385715197806082;2023-10-24;2023-10-27 04:42:43
centralcee;CentralCee;Im singing lol;10900000.0;1600000.0;10000.0;84500.0;https://www.tiktok.com/@centralcee/video/7289126164369657120?is_from_webapp=1&sender_device=pc&web_id=7294385715197806082;2023-10-13;2023-10-27 04:42:47
centralcee;CentralCee;Wearing skim cus she wanna be Kim n nem #rap ;49000000.0;5800000.0;28300.0;246500.0;https://www.tiktok.com/@centralcee/video/7260571011328904474?is_from_webapp=1&sender_device=pc&web_id=7294385715197806082;2023-07-28;2023-10-27 04:42:51
centralcee;CentralCee;Im on holiday;56700000.0;7100000.0;25600.0;254300.0;https://www.tiktok.com/@centralcee/video/7256101184002395418?is_from_webapp=1&sender_device=pc&web_id=7294385715197806082;2023-07-16;2023-10-27 04:42:55
adinross;adin;Man of my word. 202023 is our year 😈 #adinross  #adin  ;13800000.0;1400000.0;29300.0;50900.0;https://www.tiktok.com/@adinross/video/7183899838835166510?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-01-02;2023-10-27 04:44:15
adinross;adin;Adin Tate has arrived. Bottom G 😎 #adinross  #adin  ;27000000.0;3700000.0;46300.0;167000.0;https://www.tiktok.com/@adinross/video/7177196381218770222?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2022-12-15;2023-10-27 04:44:18
adinross;adin;The rossy 😎  #adinross  #adin  ;14300000.0;1300000.0;8084;62600.0;https://www.tiktok.com/@adinross/video/7167796192515050798?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2022-11-20;2023-10-27 04:44:21
adinross;adin;I wanna sing all of the words! 😜 #adinross  #adin  ;32200000.000000004;3800000.0;14500.0;238400.0;https://www.tiktok.com/@adinross/video/7160166658982546734?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2022-10-30;2023-10-27 04:44:25
thebrandonrobert;Brandon Robert;“I think I broke my nail” 😭 #boyfriend  #prank  ;601600.0;39700.0;198;2560;https://www.tiktok.com/@thebrandonrobert/video/7293202484376522027?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-24;2023-10-27 04:44:32
thebrandonrobert;Brandon Robert;Replying to @Ron Karson • Follows You  I WAS ON THE WRONG KNEE….;5500000.0;516600.0;1512;19500.0;https://www.tiktok.com/@thebrandonrobert/video/7282448363281222958?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-09-25;2023-10-27 04:44:35
thebrandonrobert;Brandon Robert;The way SHE PLAYED IT OFF😭😭 #couple  #boyfriend  #engaged  #relationship  ;41300000.0;4300000.0;13100.0;193600.0;https://www.tiktok.com/@thebrandonrobert/video/7282178005974175019?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-09-24;2023-10-27 04:44:38
thebrandonrobert;Brandon Robert;She said…. #proposal  ;2100000.0;177000.0;553;4758;https://www.tiktok.com/@thebrandonrobert/video/7279466225258859818?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-09-16;2023-10-27 04:44:41
mishayoung;Міша Городецький 🇺🇦;"I really didn't mean to offend or piss anyone off with my videos; so sorry to anyone I offended 😔";101600.0;6158;224;512;https://www.tiktok.com/@mishayoung/video/7187335850177350917?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-01-11;2023-10-27 04:44:50
mishayoung;Міша Городецький 🇺🇦;Why she looks like this 😂😅;3700000.0;189400.0;3011;10200.0;https://www.tiktok.com/@mishayoung/video/7241925232141815046?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-06-07;2023-10-27 04:44:54
mishayoung;Міша Городецький 🇺🇦;Why she so cute ?🥹😭;103200.0;7609;37;528;https://www.tiktok.com/@mishayoung/video/7227085924163767558?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-04-28;2023-10-27 04:44:58
mishayoung;Міша Городецький 🇺🇦;She win this fight 😂😅;1100000.0;40400.0;400;5102;https://www.tiktok.com/@mishayoung/video/7205200618967878917?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-02-28;2023-10-27 04:45:02
yailinlamasviraloficial;Yailin La Más Viral;;97900.0;5855;178;204;https://www.tiktok.com/@yailinlamasviraloficial/video/7282548302984269062?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-09-25;2023-10-27 04:45:10
yailinlamasviraloficial;Yailin La Más Viral;;358700.0;5855;178;204;https://www.tiktok.com/@yailinlamasviraloficial/video/7282548302984269062?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-09-25;2023-10-27 04:45:16
yailinlamasviraloficial;Yailin La Más Viral;;143600.0;2672;37;160;https://www.tiktok.com/@yailinlamasviraloficial/video/7266276052979289349?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-08-12;2023-10-27 04:45:20
yailinlamasviraloficial;Yailin La Más Viral;;664;44;2;2;https://www.tiktok.com/@yailinlamasviraloficial/video/7294059342112804101?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-27;2023-10-27 04:45:22
daniel.labelle;Daniel LaBelle;How different animals react to seeing a human.;8600000.0;776200.0;7832;56300.0;https://www.tiktok.com/@daniel.labelle/video/7291322492428340526?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-18;2023-10-27 04:45:31
daniel.labelle;Daniel LaBelle;Sprinting to introduce the new @Spectrum  streaming experience with Xumo #LifewithSpectrum  #StreamingSimplified  #SpectrumPartner  #ad  #sponsored ;14600000.0;128000.0;460;2331;https://www.tiktok.com/@daniel.labelle/video/7286491007879810346?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-05;2023-10-27 04:45:35
daniel.labelle;Daniel LaBelle;If adults did things that little kids do.;29600000.0;3200000.0;14300.0;169400.0;https://www.tiktok.com/@daniel.labelle/video/7285454298643844394?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-03;2023-10-27 04:45:39
daniel.labelle;Daniel LaBelle;If people biked instead of walked. Part 2 @woom bikes  ;4500000.0;288600.0;1874;13200.0;https://www.tiktok.com/@daniel.labelle/video/7284259635681365294?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-09-29;2023-10-27 04:45:44
amauryguichon;Amaury Guichon;Chocolate Spider! 🕷️ This is the sweetest way to overcome your fear! Who is ready for Halloween? #amauryguichon  #chocolate  #spider  #halloween  ;3500000.0;358200.0;2562;19600.0;https://www.tiktok.com/@amauryguichon/video/7293169218667695403?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-24;2023-10-27 04:45:51
amauryguichon;Amaury Guichon;Chocolate Dove! 🕊️ Something calm and peaceful to start this week. #amauryguichon  #chocolate  ;4500000.0;460400.0;2292;17800.0;https://www.tiktok.com/@amauryguichon/video/7290571900819115307?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-16;2023-10-27 04:45:54
amauryguichon;Amaury Guichon;Berries and chocolate basket! 🧺🍓 A great project created with my friend @Cedric Grolet  during my stay in Paris!Sending positive vibes throughout the whole sweet world! #cedricgrolet  #amauryguichon  #teamwork ;10400000.0;1200000.0;7530;47700.0;https://www.tiktok.com/@amauryguichon/video/7287974089237581099?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-09;2023-10-27 04:45:57
amauryguichon;Amaury Guichon;Chocolate Airplane! 🛩️ Simple and elegant little chocolate showpiece crafted during my stay in Italy!! #amauryguichon  #chocolate  ;6400000.0;516700.00000000006;2446;17600.0;https://www.tiktok.com/@amauryguichon/video/7285375644870167854?is_from_webapp=1&sender_device=pc&web_id=7294386110883776001;2023-10-02;2023-10-27 04:46:00
urbantheory_;Urban Theory;Did we hit every beats? 🎶 @eminem    #urban  #urbantheory  #dance  #tutting  #tut  #geometry  #slimshady  #trend  #italy ;124500000.0;8800000.0;9748;388400.0;https://www.tiktok.com/@urbantheory_/video/7150633839440825606?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;2022-10-04;2023-10-27 04:50:04
urbantheory_;Urban Theory;What a weird piano! 😱🎹#urbantheory # urban # tutting # piano # blackandwhite ;111500000.0;14500000.0;78900.0;469900.0;https://www.tiktok.com/@urbantheory_/video/6880824023727525121?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;2020-10-07;2023-10-27 04:50:07
urbantheory_;Urban Theory;The Urban Theory version of this trend 😁 #vudieuchatthit  #urban  #urbantheory  #tutting  #trend  #geometry  #art ;251700000.0;23000000.0;125800.0;594200.0;https://www.tiktok.com/@urbantheory_/video/6963262653355658501?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;2021-05-17;2023-10-27 04:50:10
urbantheory_;Urban Theory;👥 Synchronized Shadows 👥 Playing with our shadows again! Should we make more of these w/ @Kyle Huber  ?  #urbantheory  #kylehuber  #ShadowPlay  #perspectivematters  #losangeles  #tutting  #tuttingdance  #shadows  ;28300.0;2730;34;94;https://www.tiktok.com/@urbantheory_/video/7294241688808115489?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;2023-10-27;2023-10-27 04:50:14
enhypen;enhypen;😗🎶 #ENHYPEN  #엔하이픈  ;6400000.0;1800000.0;21800.0;173000.0;https://www.tiktok.com/@enhypen/video/7293508412946517250?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;;2023-10-27 04:50:22
enhypen;enhypen;📸 #NI_KI  en el álbum #ORANGEBLOOD  ;2600000.0;577800.0;13200.0;85300.0;https://www.tiktok.com/@enhypen/video/7293485305670257921?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;;2023-10-27 04:50:25
enhypen;enhypen;📸 #SUNOO  ในอัลบั้ม #ORANGEBLOOD    ;1300000.0;354400.0;6644;36400.0;https://www.tiktok.com/@enhypen/video/7293477800537885953?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;;2023-10-27 04:50:28
enhypen;enhypen;📸 アルバムの中で #SUNGHOON  #ORANGEBLOOD  ;1300000.0;308300.0;4579;31500.0;https://www.tiktok.com/@enhypen/video/7293114372845489410?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;;2023-10-27 04:50:31
conangray;conangray;ONE WEEK TILL KILLING ME ✪;157800.0;45000.0;773;2015;https://www.tiktok.com/@conangray/video/7293547626048376110?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;;2023-10-27 04:50:38
conangray;conangray;do yall think i have enough;888400.0;224600.0;2882;7653;https://www.tiktok.com/@conangray/video/7292061096293371182?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;;2023-10-27 04:50:41
conangray;conangray;jokes aside thank u for the well wishes ❤️;379100.0;96300.0;1661;2986;https://www.tiktok.com/@conangray/video/7291338460751891758?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;2023-10-18;2023-10-27 04:50:44
conangray;conangray;rip but i hope y’all still like the song;1300000.0;333800.0;4230;9161;https://www.tiktok.com/@conangray/video/7290232094473669930?is_from_webapp=1&sender_device=pc&web_id=7294387617147340289;2023-10-16;2023-10-27 04:50:47
ronaldinho;Ronaldinho;No ângulo 🪄😎 #ronaldinho  #soccer  #fy  #r10  ;47400000.0;4800000.0;14300.0;193200.0;https://www.tiktok.com/@ronaldinho/video/7197091378289986821?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2023-02-07;2023-10-27 04:58:37
ronaldinho;Ronaldinho;Magia do bruxo 😎 #r10  #soccer  #skills  #fy  ;201700000.0;11300000.0;25800.0;323900.0;https://www.tiktok.com/@ronaldinho/video/7147755725480021254?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2022-09-27;2023-10-27 04:58:40
ronaldinho;Ronaldinho;Pega essa!?? 🤣🤣🤣 #ronaldinho  #soccer  #r10  #fyp  ;69200000.0;7900000.0;19100.0;415200.0;https://www.tiktok.com/@ronaldinho/video/7215271437500796166?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2023-03-27;2023-10-27 04:58:43
ronaldinho;Ronaldinho;O bagulho tá de verdade!! O #TOP1  tá chegando galera! Vem pra Tropa do Bruxo 🧙🏽‍♂️🤙🏾  #bailedobruxo  #tropadobruxo  #ronaldinho  ;2300000.0;212300.0;794;5939;https://www.tiktok.com/@ronaldinho/video/7293591158431681797?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;;2023-10-27 04:58:47
im.camber;Camber;Valió vrg 😞 #fyp  #humor  #gracioso  #trabajo  #recursoshumanos  ;12500000.0;1400000.0;1143;44900.0;https://www.tiktok.com/@im.camber/video/7159365177459133702?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2022-10-28;2023-10-27 04:58:54
im.camber;Camber;😂😂😂 #humor  #fyp  #gracioso  #ex  ;23200000.0;2500000.0;13800.0;158700.0;https://www.tiktok.com/@im.camber/video/7155934228734135558?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2022-10-19;2023-10-27 04:58:57
im.camber;Camber;No vuelvo a ir a una posada 🥲 #fyp  #humor  #posada  ;12100000.0;1700000.0;8049;82600.0;https://www.tiktok.com/@im.camber/video/7174486613374946565?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2022-12-08;2023-10-27 04:59:00
im.camber;Camber;Si me lastimo señor 😞💔 #fyp  #gracioso  #humor  #dinero  ;61400.0;7923;61;243;https://www.tiktok.com/@im.camber/video/7244616422557519109?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2023-06-15;2023-10-27 04:59:03
matt_rife;Matt Rife;I now live in Iowa.🤠🥰😂 #comedy  #standup  #standupcomedy  #funny  #mattrife  #improv  #crowdwork  #rizz  ;53000000.0;7900000.0;24700.0;861500.0;https://www.tiktok.com/@matt_rife/video/7224182952572276014?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2023-04-21;2023-10-27 04:59:12
matt_rife;Matt Rife;They really are better than us in every way 🥰🥹  #comedy  #standup  #standupcomedy  #funny  #improv  #crowdwork  #mattrife  #art  #autism  ;63800000.0;9800000.0;18400.0;508300.0;https://www.tiktok.com/@matt_rife/video/7198316629904788782?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2023-02-10;2023-10-27 04:59:17
matt_rife;Matt Rife;Who’s in the wrong? 👀 #comedy  #standup  #standupcomedy  #funny  #improv  #crowdwork  #mattrife  #babymama  ;63500000.0;8000000.0;28400.0;483300.0;https://www.tiktok.com/@matt_rife/video/7154558482245602606?is_from_webapp=1&sender_device=pc&web_id=7294389826806547970;2022-10-15;2023-10-27 04:59:21
