username;view_count;like_count;comment_count;save_count;engagement_rate_influencer
...anddy_;51123200.0;6303912.0;44324.0;722172.0;10.493096108597285
1_alkaisr_1;4680500.0;461197.0;4852.0;26103.0;7.6682291
1h__aa;2207481.0;81681.0;3374.0;5147.0;9.620206391752577
1spdr;10143000.0;320500.0;6429.0;21414.0;10.394714301075268
2ndshuichiro;15457900.0;525727.0;3111.0;19112.0;17.38751921875
433;97951600.0;8236200.0;38283.0;672651.0;46.72643721311476
_andrewcurtiss;17009200.0;1850400.0;43537.0;200500.0;32.83028113636364
_angelomarasigan;29224100.0;1624900.0;5755.0;85371.0;1581.404623655914
_catben_;5067400.0;494500.0;2649.0;23682.0;24.40044726384365
_lilg4;699200.0;43884.0;393.0;1667.0;19.902710619469026
_raichouuofficial;43319200.0;4406839.0;28991.0;230429.0;11.49896213592233
_rl9;52900000.0;3843900.0;53800.0;78100.0;39.698005235602096
_shaz;1146800.0;147906.0;489.0;5490.0;26.375365657894736
_taylorfrankiepaul;61028.0;546.0;8.0;17.0;4.329272640449438
_vector_;42700000.0;1327700.0;15578.0;231100.0;533.6687927565392
abbduuu21;218607800.0;7508771.0;91678.0;323969.0;31.684940508474575
abbieherbert;37207000.0;3287300.0;4374.0;97022.0;15.035832177668107
abir.sag;359500000.0;30527800.0;247873.0;992500.0;52.701616904761906
abo.zizo;67900000.0;2721800.0;13986.0;139268.0;13.464823742331289
abo_qamae;20903200.0;1524400.0;22920.0;131896.0;36.063392
adamalhidayat;5318600.0;344200.0;2073.0;17537.0;9.363966071428571
adamrayokay;846900.0;142900.0;623.0;3149.0;12.582283835616439
adamw;3720600.0;429200.0;2251.0;18688.0;15.305533157894736
addisonre;45100000.0;1937000.0;7298.0;122000.0;26.708962471910112
adinross;87300000.0;10200000.0;98184.0;518900.0;29.431351460674158
adrian.uribe;58786700.0;4032301.0;11301.0;113729.0;27.848471024734984
adrianbliss;15400000.0;1622400.0;4997.0;72560.0;50.22661173267327
agilmarferreira;461000.0;72100.0;1554.0;2019.0;40.16294062043796
